benchmarkId,benchmarkRank,sourceBatchId,sourceItemId,sourceImage,adversarialCaseTypes,humanFinalDecision,humanFinalQid,autoSuggestedQid,autoSuggestedScore,baselineRoute,originalRoute,originalStatus,originalSignals,originalOutcome,calibratedRoute,calibratedStatus,calibratedSignals,calibratedOutcome,hardRisk,warningRisk,originalMeaningfullyFlagged,calibratedMeaningfullyFlagged,calibratedHardRiskSlip
adv-001,1,batch-014,batch-014:screenshots/Screenshot 2026-04-07 at 18.22.41.png,screenshots/Screenshot 2026-04-07 at 18.22.41.png,override|answer_key_change|topic_drift|unresolved|image_heavy|ambiguous_near_match,approve-existing-qid,q0775,q0757,43.396,likely unresolved,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-002,2,batch-019,batch-019:screenshots/Screenshot 2026-04-07 at 18.27.59.png,screenshots/Screenshot 2026-04-07 at 18.27.59.png,override|answer_key_change|unresolved|image_heavy|ambiguous_near_match,approve-existing-qid,q0730,q0848,38.244,likely unresolved,likely unresolved,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-003,3,batch-018,batch-018:screenshots/Screenshot 2026-04-07 at 18.26.51.png,screenshots/Screenshot 2026-04-07 at 18.26.51.png,override|create_new|unresolved|ambiguous_near_match,create-new-question,q0982,q0218,44.79,likely unresolved,likely unresolved,warn,topic-subtopic-drift-risk,routed,likely unresolved,warn,topic-subtopic-drift-risk,routed,true,true,true,true,false
adv-004,4,batch-014,batch-014:screenshots/Screenshot 2026-04-07 at 18.22.45.png,screenshots/Screenshot 2026-04-07 at 18.22.45.png,override|create_new|unresolved|ambiguous_near_match,create-new-question,q0979,q0234,40.522,likely unresolved,likely unresolved,warn,topic-subtopic-drift-risk,routed,likely unresolved,warn,topic-subtopic-drift-risk,routed,true,true,true,true,false
adv-005,5,batch-008,batch-008:screenshots/Screenshot 2026-04-07 at 18.04.17.png,screenshots/Screenshot 2026-04-07 at 18.04.17.png,unresolved|delete|structural_risk|ambiguous_near_match,delete-question,,q0285,44.209,likely unresolved,likely unresolved,pass,,routed,likely unresolved,pass,,routed,true,true,true,true,false
adv-006,6,batch-010,screenshots/400.png,screenshots/400.png,override|answer_key_change|topic_drift|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0797,q0425,43.712,likely unresolved,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-007,7,batch-006,screenshots/Screenshot 2026-04-07 at 18.01.30 1.png,screenshots/Screenshot 2026-04-07 at 18.01.30 1.png,override|answer_key_change|topic_drift|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0787,q0715,42.479,likely unresolved,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-008,8,batch-009,screenshots/Screenshot 2026-04-07 at 18.06.11.png,screenshots/Screenshot 2026-04-07 at 18.06.11.png,override|answer_key_change|topic_drift|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0872,q0425,42.067,likely unresolved,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-009,9,batch-009,screenshots/Screenshot 2026-04-07 at 18.06.27.png,screenshots/Screenshot 2026-04-07 at 18.06.27.png,override|answer_key_change|topic_drift|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0882,q0659,41.984,likely unresolved,likely unresolved,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-010,10,batch-015,screenshots/Screenshot 2026-04-07 at 18.24.41 1.png,screenshots/Screenshot 2026-04-07 at 18.24.41 1.png,override|answer_key_change|topic_drift|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0687,q0659,41.984,likely unresolved,likely unresolved,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
